Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 45-64,17.8,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,16.9
Age 65 or older,9.8,Age 25-44,21.8
Age 65 or older,9.8,Age 45-64,17.8
Age 18-24,10.5,Age 25-44,25.2
Age 18-24,10.5,Age 45-64,22.6
Age 18-24,10.5,Age 65 or older,11.2
Age 25-44,25.2,Age 18-24,10.5
Age 25-44,25.2,Age 45-64,22.6
Age 25-44,25.2,Age 65 or older,11.2
Age 45-64,22.6,Age 18-24,10.5
Age 45-64,22.6,Age 25-44,25.2
Age 45-64,22.6,Age 65 or older,11.2
Age 65 or older,11.2,Age 18-24,10.5
Age 65 or older,11.2,Age 25-44,25.2
Age 65 or older,11.2,Age 45-64,22.6
Age 18-24,11.1,Age 25-44,23.2
Age 18-24,11.1,Age 45-64,22.6
Age 18-24,11.1,Age 65 or older,12.6
Age 25-44,23.2,Age 18-24,11.1
Age 25-44,23.2,Age 45-64,22.6
Age 25-44,23.2,Age 65 or older,12.6
Age 45-64,22.6,Age 18-24,11.1
Age 45-64,22.6,Age 25-44,23.2
Age 45-64,22.6,Age 65 or older,12.6
Age 65 or older,12.6,Age 18-24,11.1
Age 65 or older,12.6,Age 25-44,23.2
Age 65 or older,12.6,Age 45-64,22.6
Age 18-24,11.2,Age 25-44,14.8
Age 18-24,11.2,Age 45-64,15.9
Age 18-24,11.2,Age 65 or older,8.9
Age 25-44,14.8,Age 18-24,11.2
Age 25-44,14.8,Age 45-64,15.9
Age 25-44,14.8,Age 65 or older,8.9
Age 45-64,15.9,Age 18-24,11.2
Age 45-64,15.9,Age 25-44,14.8
Age 45-64,15.9,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,11.2
Age 65 or older,8.9,Age 25-44,14.8
Age 65 or older,8.9,Age 45-64,15.9
Age 18-24,8.0,Age 25-44,21.3
Age 18-24,8.0,Age 45-64,17.4
Age 18-24,8.0,Age 65 or older,10.2
Age 25-44,21.3,Age 18-24,8.0
Age 25-44,21.3,Age 45-64,17.4
Age 25-44,21.3,Age 65 or older,10.2
Age 45-64,17.4,Age 18-24,8.0
Age 45-64,17.4,Age 25-44,21.3
Age 45-64,17.4,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,8.0
Age 65 or older,10.2,Age 25-44,21.3
Age 65 or older,10.2,Age 45-64,17.4
Age 18-24,No Data,Age 25-44,16.8
Age 18-24,No Data,Age 45-64,16.2
Age 18-24,No Data,Age 65 or older,8.4
Age 25-44,16.8,Age 18-24,No Data
Age 25-44,16.8,Age 45-64,16.2
Age 25-44,16.8,Age 65 or older,8.4
Age 45-64,16.2,Age 18-24,No Data
Age 45-64,16.2,Age 25-44,16.8
Age 45-64,16.2,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,No Data
Age 65 or older,8.4,Age 25-44,16.8
Age 65 or older,8.4,Age 45-64,16.2
Age 18-24,12.2,Age 25-44,21.4
Age 18-24,12.2,Age 45-64,23.1
Age 18-24,12.2,Age 65 or older,10.0
Age 25-44,21.4,Age 18-24,12.2
Age 25-44,21.4,Age 45-64,23.1
Age 25-44,21.4,Age 65 or older,10.0
Age 45-64,23.1,Age 18-24,12.2
Age 45-64,23.1,Age 25-44,21.4
Age 45-64,23.1,Age 65 or older,10.0
Age 65 or older,10.0,Age 18-24,12.2
Age 65 or older,10.0,Age 25-44,21.4
Age 65 or older,10.0,Age 45-64,23.1
Age 18-24,11.9,Age 25-44,26.1
Age 18-24,11.9,Age 45-64,17.6
Age 18-24,11.9,Age 65 or older,9.5
Age 25-44,26.1,Age 18-24,11.9
Age 25-44,26.1,Age 45-64,17.6
Age 25-44,26.1,Age 65 or older,9.5
Age 45-64,17.6,Age 18-24,11.9
Age 45-64,17.6,Age 25-44,26.1
Age 45-64,17.6,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,11.9
Age 65 or older,9.5,Age 25-44,26.1
Age 65 or older,9.5,Age 45-64,17.6
Age 18-24,13.4,Age 25-44,21.1
Age 18-24,13.4,Age 45-64,23.8
Age 18-24,13.4,Age 65 or older,14.0
Age 25-44,21.1,Age 18-24,13.4
Age 25-44,21.1,Age 45-64,23.8
Age 25-44,21.1,Age 65 or older,14.0
Age 45-64,23.8,Age 18-24,13.4
Age 45-64,23.8,Age 25-44,21.1
Age 45-64,23.8,Age 65 or older,14.0
Age 65 or older,14.0,Age 18-24,13.4
Age 65 or older,14.0,Age 25-44,21.1
Age 65 or older,14.0,Age 45-64,23.8
Age 18-24,8.6,Age 25-44,15.2
Age 18-24,8.6,Age 45-64,15.7
Age 18-24,8.6,Age 65 or older,8.2
Age 25-44,15.2,Age 18-24,8.6
Age 25-44,15.2,Age 45-64,15.7
Age 25-44,15.2,Age 65 or older,8.2
Age 45-64,15.7,Age 18-24,8.6
Age 45-64,15.7,Age 25-44,15.2
Age 45-64,15.7,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,8.6
Age 65 or older,8.2,Age 25-44,15.2
Age 65 or older,8.2,Age 45-64,15.7
Age 18-24,4.9,Age 25-44,10.0
Age 18-24,4.9,Age 45-64,10.2
Age 18-24,4.9,Age 65 or older,3.4
Age 25-44,10.0,Age 18-24,4.9
Age 25-44,10.0,Age 45-64,10.2
Age 25-44,10.0,Age 65 or older,3.4
Age 45-64,10.2,Age 18-24,4.9
Age 45-64,10.2,Age 25-44,10.0
Age 45-64,10.2,Age 65 or older,3.4
Age 65 or older,3.4,Age 18-24,4.9
Age 65 or older,3.4,Age 25-44,10.0
Age 65 or older,3.4,Age 45-64,10.2
Age 18-24,10.7,Age 25-44,18.8
Age 18-24,10.7,Age 45-64,14.4
Age 18-24,10.7,Age 65 or older,7.1
Age 25-44,18.8,Age 18-24,10.7
Age 25-44,18.8,Age 45-64,14.4
Age 25-44,18.8,Age 65 or older,7.1
Age 45-64,14.4,Age 18-24,10.7
Age 45-64,14.4,Age 25-44,18.8
Age 45-64,14.4,Age 65 or older,7.1
Age 65 or older,7.1,Age 18-24,10.7
Age 65 or older,7.1,Age 25-44,18.8
Age 65 or older,7.1,Age 45-64,14.4
Age 18-24,8.4,Age 25-44,16.5
Age 18-24,8.4,Age 45-64,15.5
Age 18-24,8.4,Age 65 or older,9.4
Age 25-44,16.5,Age 18-24,8.4
Age 25-44,16.5,Age 45-64,15.5
Age 25-44,16.5,Age 65 or older,9.4
Age 45-64,15.5,Age 18-24,8.4
Age 45-64,15.5,Age 25-44,16.5
Age 45-64,15.5,Age 65 or older,9.4
Age 65 or older,9.4,Age 18-24,8.4
Age 65 or older,9.4,Age 25-44,16.5
Age 65 or older,9.4,Age 45-64,15.5
Age 18-24,6.1,Age 25-44,13.7
Age 18-24,6.1,Age 45-64,13.3
Age 18-24,6.1,Age 65 or older,7.9
Age 25-44,13.7,Age 18-24,6.1
Age 25-44,13.7,Age 45-64,13.3
Age 25-44,13.7,Age 65 or older,7.9
Age 45-64,13.3,Age 18-24,6.1
Age 45-64,13.3,Age 25-44,13.7
Age 45-64,13.3,Age 65 or older,7.9
Age 65 or older,7.9,Age 18-24,6.1
Age 65 or older,7.9,Age 25-44,13.7
Age 65 or older,7.9,Age 45-64,13.3
Age 18-24,8.5,Age 25-44,31.2
Age 18-24,8.5,Age 45-64,27.5
Age 18-24,8.5,Age 65 or older,12.7
Age 25-44,31.2,Age 18-24,8.5
Age 25-44,31.2,Age 45-64,27.5
Age 25-44,31.2,Age 65 or older,12.7
Age 45-64,27.5,Age 18-24,8.5
Age 45-64,27.5,Age 25-44,31.2
Age 45-64,27.5,Age 65 or older,12.7
Age 65 or older,12.7,Age 18-24,8.5
Age 65 or older,12.7,Age 25-44,31.2
Age 65 or older,12.7,Age 45-64,27.5
Age 18-24,7.4,Age 25-44,19.7
Age 18-24,7.4,Age 45-64,18.3
Age 18-24,7.4,Age 65 or older,10.0
Age 25-44,19.7,Age 18-24,7.4
Age 25-44,19.7,Age 45-64,18.3
Age 25-44,19.7,Age 65 or older,10.0
Age 45-64,18.3,Age 18-24,7.4
Age 45-64,18.3,Age 25-44,19.7
Age 45-64,18.3,Age 65 or older,10.0
Age 65 or older,10.0,Age 18-24,7.4
Age 65 or older,10.0,Age 25-44,19.7
Age 65 or older,10.0,Age 45-64,18.3
Age 18-24,17.2,Age 25-44,24.6
Age 18-24,17.2,Age 45-64,18.3
Age 18-24,17.2,Age 65 or older,10.5
Age 25-44,24.6,Age 18-24,17.2
Age 25-44,24.6,Age 45-64,18.3
Age 25-44,24.6,Age 65 or older,10.5
Age 45-64,18.3,Age 18-24,17.2
Age 45-64,18.3,Age 25-44,24.6
Age 45-64,18.3,Age 65 or older,10.5
Age 65 or older,10.5,Age 18-24,17.2
Age 65 or older,10.5,Age 25-44,24.6
Age 65 or older,10.5,Age 45-64,18.3
Age 18-24,No Data,Age 25-44,22.2
Age 18-24,No Data,Age 45-64,20.4
Age 18-24,No Data,Age 65 or older,12.3
Age 25-44,22.2,Age 18-24,No Data
Age 25-44,22.2,Age 45-64,20.4
Age 25-44,22.2,Age 65 or older,12.3
Age 45-64,20.4,Age 18-24,No Data
Age 45-64,20.4,Age 25-44,22.2
Age 45-64,20.4,Age 65 or older,12.3
Age 65 or older,12.3,Age 18-24,No Data
Age 65 or older,12.3,Age 25-44,22.2
Age 65 or older,12.3,Age 45-64,20.4
Age 18-24,12.9,Age 25-44,19.5
Age 18-24,12.9,Age 45-64,18.9
Age 18-24,12.9,Age 65 or older,11.8
Age 25-44,19.5,Age 18-24,12.9
Age 25-44,19.5,Age 45-64,18.9
Age 25-44,19.5,Age 65 or older,11.8
Age 45-64,18.9,Age 18-24,12.9
Age 45-64,18.9,Age 25-44,19.5
Age 45-64,18.9,Age 65 or older,11.8
Age 65 or older,11.8,Age 18-24,12.9
Age 65 or older,11.8,Age 25-44,19.5
Age 65 or older,11.8,Age 45-64,18.9
Age 18-24,6.4,Age 25-44,15.8
Age 18-24,6.4,Age 45-64,15.7
Age 18-24,6.4,Age 65 or older,9.4
Age 25-44,15.8,Age 18-24,6.4
Age 25-44,15.8,Age 45-64,15.7
Age 25-44,15.8,Age 65 or older,9.4
Age 45-64,15.7,Age 18-24,6.4
Age 45-64,15.7,Age 25-44,15.8
Age 45-64,15.7,Age 65 or older,9.4
Age 65 or older,9.4,Age 18-24,6.4
Age 65 or older,9.4,Age 25-44,15.8
Age 65 or older,9.4,Age 45-64,15.7
Age 18-24,12.4,Age 25-44,24.2
Age 18-24,12.4,Age 45-64,27.5
Age 18-24,12.4,Age 65 or older,13.0
Age 25-44,24.2,Age 18-24,12.4
Age 25-44,24.2,Age 45-64,27.5
Age 25-44,24.2,Age 65 or older,13.0
Age 45-64,27.5,Age 18-24,12.4
Age 45-64,27.5,Age 25-44,24.2
Age 45-64,27.5,Age 65 or older,13.0
Age 65 or older,13.0,Age 18-24,12.4
Age 65 or older,13.0,Age 25-44,24.2
Age 65 or older,13.0,Age 45-64,27.5
Age 18-24,4.1,Age 25-44,9.6
Age 18-24,4.1,Age 45-64,10.9
Age 18-24,4.1,Age 65 or older,7.3
Age 25-44,9.6,Age 18-24,4.1
Age 25-44,9.6,Age 45-64,10.9
Age 25-44,9.6,Age 65 or older,7.3
Age 45-64,10.9,Age 18-24,4.1
Age 45-64,10.9,Age 25-44,9.6
Age 45-64,10.9,Age 65 or older,7.3
Age 65 or older,7.3,Age 18-24,4.1
Age 65 or older,7.3,Age 25-44,9.6
Age 65 or older,7.3,Age 45-64,10.9
Age 18-24,8.9,Age 25-44,14.2
Age 18-24,8.9,Age 45-64,12.6
Age 18-24,8.9,Age 65 or older,8.5
Age 25-44,14.2,Age 18-24,8.9
Age 25-44,14.2,Age 45-64,12.6
Age 25-44,14.2,Age 65 or older,8.5
Age 45-64,12.6,Age 18-24,8.9
Age 45-64,12.6,Age 25-44,14.2
Age 45-64,12.6,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,8.9
Age 65 or older,8.5,Age 25-44,14.2
Age 65 or older,8.5,Age 45-64,12.6
Age 18-24,6.6,Age 25-44,13.3
Age 18-24,6.6,Age 45-64,14.0
Age 18-24,6.6,Age 65 or older,6.5
Age 25-44,13.3,Age 18-24,6.6
Age 25-44,13.3,Age 45-64,14.0
Age 25-44,13.3,Age 65 or older,6.5
Age 45-64,14.0,Age 18-24,6.6
Age 45-64,14.0,Age 25-44,13.3
Age 45-64,14.0,Age 65 or older,6.5
Age 65 or older,6.5,Age 18-24,6.6
Age 65 or older,6.5,Age 25-44,13.3
Age 65 or older,6.5,Age 45-64,14.0
Age 18-24,No Data,Age 25-44,18.9
Age 18-24,No Data,Age 45-64,14.9
Age 18-24,No Data,Age 65 or older,8.5
Age 25-44,18.9,Age 18-24,No Data
Age 25-44,18.9,Age 45-64,14.9
Age 25-44,18.9,Age 65 or older,8.5
Age 45-64,14.9,Age 18-24,No Data
Age 45-64,14.9,Age 25-44,18.9
Age 45-64,14.9,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,No Data
Age 65 or older,8.5,Age 25-44,18.9
Age 65 or older,8.5,Age 45-64,14.9
Age 18-24,No Data,Age 25-44,8.2
Age 18-24,No Data,Age 45-64,13.3
Age 18-24,No Data,Age 65 or older,10.6
Age 25-44,8.2,Age 18-24,No Data
Age 25-44,8.2,Age 45-64,13.3
Age 25-44,8.2,Age 65 or older,10.6
Age 45-64,13.3,Age 18-24,No Data
Age 45-64,13.3,Age 25-44,8.2
Age 45-64,13.3,Age 65 or older,10.6
Age 65 or older,10.6,Age 18-24,No Data
Age 65 or older,10.6,Age 25-44,8.2
Age 65 or older,10.6,Age 45-64,13.3
Age 18-24,No Data,Age 25-44,No Data
Age 18-24,No Data,Age 45-64,No Data
Age 18-24,No Data,Age 65 or older,No Data
Age 25-44,No Data,Age 18-24,No Data
Age 25-44,No Data,Age 45-64,No Data
Age 25-44,No Data,Age 65 or older,No Data
Age 45-64,No Data,Age 18-24,No Data
Age 45-64,No Data,Age 25-44,No Data
Age 45-64,No Data,Age 65 or older,No Data
Age 65 or older,No Data,Age 18-24,No Data
Age 65 or older,No Data,Age 25-44,No Data
Age 65 or older,No Data,Age 45-64,No Data
Age 18-24,5.8,Age 25-44,19.1
Age 18-24,5.8,Age 45-64,18.5
Age 18-24,5.8,Age 65 or older,8.6
Age 25-44,19.1,Age 18-24,5.8
Age 25-44,19.1,Age 45-64,18.5
Age 25-44,19.1,Age 65 or older,8.6
Age 45-64,18.5,Age 18-24,5.8
Age 45-64,18.5,Age 25-44,19.1
Age 45-64,18.5,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,5.8
Age 65 or older,8.6,Age 25-44,19.1
Age 65 or older,8.6,Age 45-64,18.5
Age 18-24,6.9,Age 25-44,11.7
Age 18-24,6.9,Age 45-64,12.0
Age 18-24,6.9,Age 65 or older,7.0
Age 25-44,11.7,Age 18-24,6.9
Age 25-44,11.7,Age 45-64,12.0
Age 25-44,11.7,Age 65 or older,7.0
Age 45-64,12.0,Age 18-24,6.9
Age 45-64,12.0,Age 25-44,11.7
Age 45-64,12.0,Age 65 or older,7.0
Age 65 or older,7.0,Age 18-24,6.9
Age 65 or older,7.0,Age 25-44,11.7
Age 65 or older,7.0,Age 45-64,12.0
Age 18-24,9.6,Age 25-44,16.3
Age 18-24,9.6,Age 45-64,15.3
Age 18-24,9.6,Age 65 or older,8.5
Age 25-44,16.3,Age 18-24,9.6
Age 25-44,16.3,Age 45-64,15.3
Age 25-44,16.3,Age 65 or older,8.5
Age 45-64,15.3,Age 18-24,9.6
Age 45-64,15.3,Age 25-44,16.3
Age 45-64,15.3,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,9.6
Age 65 or older,8.5,Age 25-44,16.3
Age 65 or older,8.5,Age 45-64,15.3
Age 18-24,No Data,Age 25-44,15.4
Age 18-24,No Data,Age 45-64,14.8
Age 18-24,No Data,Age 65 or older,6.2
Age 25-44,15.4,Age 18-24,No Data
Age 25-44,15.4,Age 45-64,14.8
Age 25-44,15.4,Age 65 or older,6.2
Age 45-64,14.8,Age 18-24,No Data
Age 45-64,14.8,Age 25-44,15.4
Age 45-64,14.8,Age 65 or older,6.2
Age 65 or older,6.2,Age 18-24,No Data
Age 65 or older,6.2,Age 25-44,15.4
Age 65 or older,6.2,Age 45-64,14.8
Age 18-24,7.4,Age 25-44,22.1
Age 18-24,7.4,Age 45-64,20.9
Age 18-24,7.4,Age 65 or older,11.0
Age 25-44,22.1,Age 18-24,7.4
Age 25-44,22.1,Age 45-64,20.9
Age 25-44,22.1,Age 65 or older,11.0
Age 45-64,20.9,Age 18-24,7.4
Age 45-64,20.9,Age 25-44,22.1
Age 45-64,20.9,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,7.4
Age 65 or older,11.0,Age 25-44,22.1
Age 65 or older,11.0,Age 45-64,20.9
Age 18-24,6.3,Age 25-44,19.3
Age 18-24,6.3,Age 45-64,18.3
Age 18-24,6.3,Age 65 or older,8.4
Age 25-44,19.3,Age 18-24,6.3
Age 25-44,19.3,Age 45-64,18.3
Age 25-44,19.3,Age 65 or older,8.4
Age 45-64,18.3,Age 18-24,6.3
Age 45-64,18.3,Age 25-44,19.3
Age 45-64,18.3,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,6.3
Age 65 or older,8.4,Age 25-44,19.3
Age 65 or older,8.4,Age 45-64,18.3
Age 18-24,9.0,Age 25-44,21.2
Age 18-24,9.0,Age 45-64,17.2
Age 18-24,9.0,Age 65 or older,9.1
Age 25-44,21.2,Age 18-24,9.0
Age 25-44,21.2,Age 45-64,17.2
Age 25-44,21.2,Age 65 or older,9.1
Age 45-64,17.2,Age 18-24,9.0
Age 45-64,17.2,Age 25-44,21.2
Age 45-64,17.2,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,9.0
Age 65 or older,9.1,Age 25-44,21.2
Age 65 or older,9.1,Age 45-64,17.2
Age 18-24,13.7,Age 25-44,23.6
Age 18-24,13.7,Age 45-64,23.3
Age 18-24,13.7,Age 65 or older,11.8
Age 25-44,23.6,Age 18-24,13.7
Age 25-44,23.6,Age 45-64,23.3
Age 25-44,23.6,Age 65 or older,11.8
Age 45-64,23.3,Age 18-24,13.7
Age 45-64,23.3,Age 25-44,23.6
Age 45-64,23.3,Age 65 or older,11.8
Age 65 or older,11.8,Age 18-24,13.7
Age 65 or older,11.8,Age 25-44,23.6
Age 65 or older,11.8,Age 45-64,23.3
Age 18-24,13.3,Age 25-44,22.8
Age 18-24,13.3,Age 45-64,23.1
Age 18-24,13.3,Age 65 or older,12.5
Age 25-44,22.8,Age 18-24,13.3
Age 25-44,22.8,Age 45-64,23.1
Age 25-44,22.8,Age 65 or older,12.5
Age 45-64,23.1,Age 18-24,13.3
Age 45-64,23.1,Age 25-44,22.8
Age 45-64,23.1,Age 65 or older,12.5
Age 65 or older,12.5,Age 18-24,13.3
Age 65 or older,12.5,Age 25-44,22.8
Age 65 or older,12.5,Age 45-64,23.1
Age 18-24,6.3,Age 25-44,22.2
Age 18-24,6.3,Age 45-64,19.2
Age 18-24,6.3,Age 65 or older,7.8
Age 25-44,22.2,Age 18-24,6.3
Age 25-44,22.2,Age 45-64,19.2
Age 25-44,22.2,Age 65 or older,7.8
Age 45-64,19.2,Age 18-24,6.3
Age 45-64,19.2,Age 25-44,22.2
Age 45-64,19.2,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,6.3
Age 65 or older,7.8,Age 25-44,22.2
Age 65 or older,7.8,Age 45-64,19.2
Age 18-24,4.5,Age 25-44,11.2
Age 18-24,4.5,Age 45-64,12.6
Age 18-24,4.5,Age 65 or older,7.6
Age 25-44,11.2,Age 18-24,4.5
Age 25-44,11.2,Age 45-64,12.6
Age 25-44,11.2,Age 65 or older,7.6
Age 45-64,12.6,Age 18-24,4.5
Age 45-64,12.6,Age 25-44,11.2
Age 45-64,12.6,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,4.5
Age 65 or older,7.6,Age 25-44,11.2
Age 65 or older,7.6,Age 45-64,12.6
Age 18-24,7.4,Age 25-44,12.3
Age 18-24,7.4,Age 45-64,12.3
Age 18-24,7.4,Age 65 or older,7.6
Age 25-44,12.3,Age 18-24,7.4
Age 25-44,12.3,Age 45-64,12.3
Age 25-44,12.3,Age 65 or older,7.6
Age 45-64,12.3,Age 18-24,7.4
Age 45-64,12.3,Age 25-44,12.3
Age 45-64,12.3,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,7.4
Age 65 or older,7.6,Age 25-44,12.3
Age 65 or older,7.6,Age 45-64,12.3
Age 18-24,3.7,Age 25-44,23.4
Age 18-24,3.7,Age 45-64,20.1
Age 18-24,3.7,Age 65 or older,11.0
Age 25-44,23.4,Age 18-24,3.7
Age 25-44,23.4,Age 45-64,20.1
Age 25-44,23.4,Age 65 or older,11.0
Age 45-64,20.1,Age 18-24,3.7
Age 45-64,20.1,Age 25-44,23.4
Age 45-64,20.1,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,3.7
Age 65 or older,11.0,Age 25-44,23.4
Age 65 or older,11.0,Age 45-64,20.1
Age 18-24,6.9,Age 25-44,16.7
Age 18-24,6.9,Age 45-64,15.9
Age 18-24,6.9,Age 65 or older,8.4
Age 25-44,16.7,Age 18-24,6.9
Age 25-44,16.7,Age 45-64,15.9
Age 25-44,16.7,Age 65 or older,8.4
Age 45-64,15.9,Age 18-24,6.9
Age 45-64,15.9,Age 25-44,16.7
Age 45-64,15.9,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,6.9
Age 65 or older,8.4,Age 25-44,16.7
Age 65 or older,8.4,Age 45-64,15.9
Age 18-24,11.9,Age 25-44,24.0
Age 18-24,11.9,Age 45-64,21.9
Age 18-24,11.9,Age 65 or older,14.3
Age 25-44,24.0,Age 18-24,11.9
Age 25-44,24.0,Age 45-64,21.9
Age 25-44,24.0,Age 65 or older,14.3
Age 45-64,21.9,Age 18-24,11.9
Age 45-64,21.9,Age 25-44,24.0
Age 45-64,21.9,Age 65 or older,14.3
Age 65 or older,14.3,Age 18-24,11.9
Age 65 or older,14.3,Age 25-44,24.0
Age 65 or older,14.3,Age 45-64,21.9
Age 18-24,7.8,Age 25-44,21.9
Age 18-24,7.8,Age 45-64,21.3
Age 18-24,7.8,Age 65 or older,10.3
Age 25-44,21.9,Age 18-24,7.8
Age 25-44,21.9,Age 45-64,21.3
Age 25-44,21.9,Age 65 or older,10.3
Age 45-64,21.3,Age 18-24,7.8
Age 45-64,21.3,Age 25-44,21.9
Age 45-64,21.3,Age 65 or older,10.3
Age 65 or older,10.3,Age 18-24,7.8
Age 65 or older,10.3,Age 25-44,21.9
Age 65 or older,10.3,Age 45-64,21.3
Age 18-24,11.4,Age 25-44,18.5
Age 18-24,11.4,Age 45-64,16.0
Age 18-24,11.4,Age 65 or older,9.0
Age 25-44,18.5,Age 18-24,11.4
Age 25-44,18.5,Age 45-64,16.0
Age 25-44,18.5,Age 65 or older,9.0
Age 45-64,16.0,Age 18-24,11.4
Age 45-64,16.0,Age 25-44,18.5
Age 45-64,16.0,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,11.4
Age 65 or older,9.0,Age 25-44,18.5
Age 65 or older,9.0,Age 45-64,16.0
Age 18-24,6.7,Age 25-44,15.9
Age 18-24,6.7,Age 45-64,17.3
Age 18-24,6.7,Age 65 or older,8.2
Age 25-44,15.9,Age 18-24,6.7
Age 25-44,15.9,Age 45-64,17.3
Age 25-44,15.9,Age 65 or older,8.2
Age 45-64,17.3,Age 18-24,6.7
Age 45-64,17.3,Age 25-44,15.9
Age 45-64,17.3,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,6.7
Age 65 or older,8.2,Age 25-44,15.9
Age 65 or older,8.2,Age 45-64,17.3
Age 18-24,No Data,Age 25-44,16.4
Age 18-24,No Data,Age 45-64,20.5
Age 18-24,No Data,Age 65 or older,12.6
Age 25-44,16.4,Age 18-24,No Data
Age 25-44,16.4,Age 45-64,20.5
Age 25-44,16.4,Age 65 or older,12.6
Age 45-64,20.5,Age 18-24,No Data
Age 45-64,20.5,Age 25-44,16.4
Age 45-64,20.5,Age 65 or older,12.6
Age 65 or older,12.6,Age 18-24,No Data
Age 65 or older,12.6,Age 25-44,16.4
Age 65 or older,12.6,Age 45-64,20.5
Age 18-24,No Data,Age 25-44,15.2
Age 18-24,No Data,Age 45-64,15.6
Age 18-24,No Data,Age 65 or older,7.4
Age 25-44,15.2,Age 18-24,No Data
Age 25-44,15.2,Age 45-64,15.6
Age 25-44,15.2,Age 65 or older,7.4
Age 45-64,15.6,Age 18-24,No Data
Age 45-64,15.6,Age 25-44,15.2
Age 45-64,15.6,Age 65 or older,7.4
Age 65 or older,7.4,Age 18-24,No Data
Age 65 or older,7.4,Age 25-44,15.2
Age 65 or older,7.4,Age 45-64,15.6
Age 18-24,4.1,Age 25-44,12.6
Age 18-24,4.1,Age 45-64,13.0
Age 18-24,4.1,Age 65 or older,8.2
Age 25-44,12.6,Age 18-24,4.1
Age 25-44,12.6,Age 45-64,13.0
Age 25-44,12.6,Age 65 or older,8.2
Age 45-64,13.0,Age 18-24,4.1
Age 45-64,13.0,Age 25-44,12.6
Age 45-64,13.0,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,4.1
Age 65 or older,8.2,Age 25-44,12.6
Age 65 or older,8.2,Age 45-64,13.0
Age 18-24,6.9,Age 25-44,18.3
Age 18-24,6.9,Age 45-64,14.0
Age 18-24,6.9,Age 65 or older,9.2
Age 25-44,18.3,Age 18-24,6.9
Age 25-44,18.3,Age 45-64,14.0
Age 25-44,18.3,Age 65 or older,9.2
Age 45-64,14.0,Age 18-24,6.9
Age 45-64,14.0,Age 25-44,18.3
Age 45-64,14.0,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,6.9
Age 65 or older,9.2,Age 25-44,18.3
Age 65 or older,9.2,Age 45-64,14.0
Age 18-24,6.2,Age 25-44,14.7
Age 18-24,6.2,Age 45-64,14.1
Age 18-24,6.2,Age 65 or older,8.2
Age 25-44,14.7,Age 18-24,6.2
Age 25-44,14.7,Age 45-64,14.1
Age 25-44,14.7,Age 65 or older,8.2
Age 45-64,14.1,Age 18-24,6.2
Age 45-64,14.1,Age 25-44,14.7
Age 45-64,14.1,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,6.2
Age 65 or older,8.2,Age 25-44,14.7
Age 65 or older,8.2,Age 45-64,14.1
Age 18-24,7.9,Age 25-44,19.1
Age 18-24,7.9,Age 45-64,16.3
Age 18-24,7.9,Age 65 or older,8.5
Age 25-44,19.1,Age 18-24,7.9
Age 25-44,19.1,Age 45-64,16.3
Age 25-44,19.1,Age 65 or older,8.5
Age 45-64,16.3,Age 18-24,7.9
Age 45-64,16.3,Age 25-44,19.1
Age 45-64,16.3,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,7.9
Age 65 or older,8.5,Age 25-44,19.1
Age 65 or older,8.5,Age 45-64,16.3
Age 18-24,7.5,Age 25-44,21.8
Age 18-24,7.5,Age 45-64,15.8
Age 18-24,7.5,Age 65 or older,7.5
Age 25-44,21.8,Age 18-24,7.5
Age 25-44,21.8,Age 45-64,15.8
Age 25-44,21.8,Age 65 or older,7.5
Age 45-64,15.8,Age 18-24,7.5
Age 45-64,15.8,Age 25-44,21.8
Age 45-64,15.8,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,7.5
Age 65 or older,7.5,Age 25-44,21.8
Age 65 or older,7.5,Age 45-64,15.8
Age 18-24,9.9,Age 25-44,22.7
Age 18-24,9.9,Age 45-64,21.6
Age 18-24,9.9,Age 65 or older,11.0
